0:0:0:0:0:0:0:1 - - [13/Nov/2018:00:41:53 -0200] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [13/Nov/2018:00:41:54 -0200] "POST /Topico1/Formulario.jsp HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [13/Nov/2018:00:41:56 -0200] "POST /Topico1/Formulario.jsp HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [13/Nov/2018:00:41:56 -0200] "POST /Topico1/Formulario.jsp HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [13/Nov/2018:00:41:57 -0200] "POST /Topico1/Formulario.jsp HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [13/Nov/2018:00:42:00 -0200] "POST /Topico1/Formulario.jsp HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [13/Nov/2018:00:42:02 -0200] "POST /Topico1/Formulario.jsp HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [13/Nov/2018:00:42:55 -0200] "GET /Topico1/Formulario.jsp HTTP/1.1" 500 2567
0:0:0:0:0:0:0:1 - - [13/Nov/2018:00:42:55 -0200] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [13/Nov/2018:00:43:26 -0200] "GET /Topico1/Formulario.jsp HTTP/1.1" 500 2726
